high,NounPPFrame,dbo:height,How high is the lighthouse in Colombo?,SELECT  ?o WHERE { <http://dbpedia.org/resource/Colombo_Lighthouse> <http://dbpedia.org/ontology/height> ?o . }
host,NounPPFrame,dbo:presenter,Who is the host of the BBC Wildlife Specials?,SELECT  ?o WHERE { <http://dbpedia.org/resource/BBC_Wildlife_Specials> <http://dbpedia.org/ontology/presenter> ?o . }
cost,TransitiveFrame,dbo:budget,How much did Pulp Fiction cost?,SELECT  ?o WHERE { <http://dbpedia.org/resource/Pulp_Fiction> <http://dbpedia.org/ontology/budget> ?o . }
end,IntransitivePPFrame,dbo:routeEnd,In which city does the Chile Route 68 end?,SELECT  ?oi WHERE { <http://dbpedia.org/resource/Chile_Route_68> <http://dbpedia.org/ontology/routeEnd> ?o. }
published by,published by,dbo:publisher,which books were published by Viking Press?,"select ?s {?s <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> . }
tall,NounPPFrame,dbo:height,How tall is Amazon Eve?,SELECT  ?o WHERE { <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?o . }
call,NounPPFrame,dbp:nickname,Who was called Frank The Tank?,"select ?s {?s <http://dbpedia.org/property/nickname> 'Frank The Tank'@en . }
large ,NounPPFrame,dbo:areaTotal,What is the largest country in the world?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
largest ,NounPPFrame,dbo:areaTotal,What is the largest country in the world?,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . 

} ORDER BY DESC(?num) LIMIT 1"
cost,TransitiveFrame,dbo:budget,How much did the Lego Movie cost?,"select ?o 

{

 <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?o . 

}"
start,IntransitivePPFrame,dbo:routeStart,Where does Piccadilly start?,SELECT ?o WHERE { ?o <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. }
play,TransitiveFrame,dbp:portrayer,Who played Agent Smith in Matrix?,"select ?o 

{

 <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer> ?o . 

}"
